loc_inst_code,loc_type,x,y,z,width,depth,height,row_num,bay_num,level_num,address_label
A1-00001,A1,0.0,0.0,0.0,160.0,600.0,130.0,1,1,1,R01-B001-L01
A1-00002,A1,0.0,0.0,130.0,160.0,600.0,130.0,1,1,2,R01-B001-L02
A1-00003,A1,0.0,0.0,260.0,160.0,600.0,130.0,1,1,3,R01-B001-L03
A1-00004,A1,0.0,0.0,390.0,160.0,600.0,130.0,1,1,4,R01-B001-L04
A1-00005,A1,0.0,0.0,520.0,160.0,600.0,130.0,1,1,5,R01-B001-L05
A1-00006,A1,0.0,0.0,650.0,160.0,600.0,130.0,1,1,6,R01-B001-L06
A1-00007,A1,0.0,0.0,780.0,160.0,600.0,130.0,1,1,7,R01-B001-L07
A1-00008,A1,0.0,0.0,910.0,160.0,600.0,130.0,1,1,8,R01-B001-L08
A1-00009,A1,0.0,0.0,1040.0,160.0,600.0,130.0,1,1,9,R01-B001-L09
A1-00010,A1,0.0,0.0,1170.0,160.0,600.0,130.0,1,1,10,R01-B001-L10
A1-00011,A1,0.0,0.0,1300.0,160.0,600.0,130.0,1,1,11,R01-B001-L11
A1-00012,A1,0.0,0.0,1430.0,160.0,600.0,130.0,1,1,12,R01-B001-L12
A1-00013,A1,0.0,0.0,1560.0,160.0,600.0,130.0,1,1,13,R01-B001-L13
A1-00014,A1,0.0,0.0,1690.0,160.0,600.0,130.0,1,1,14,R01-B001-L14
A1-00015,A1,0.0,0.0,1820.0,160.0,600.0,130.0,1,1,15,R01-B001-L15
A1-00016,A1,0.0,0.0,1950.0,160.0,600.0,130.0,1,1,16,R01-B001-L16
A1-00017,A1,210.0,0.0,0.0,160.0,600.0,130.0,1,2,1,R01-B002-L01
A1-00018,A1,210.0,0.0,130.0,160.0,600.0,130.0,1,2,2,R01-B002-L02
A1-00019,A1,210.0,0.0,260.0,160.0,600.0,130.0,1,2,3,R01-B002-L03
A1-00020,A1,210.0,0.0,390.0,160.0,600.0,130.0,1,2,4,R01-B002-L04
A1-00021,A1,210.0,0.0,520.0,160.0,600.0,130.0,1,2,5,R01-B002-L05
A1-00022,A1,210.0,0.0,650.0,160.0,600.0,130.0,1,2,6,R01-B002-L06
A1-00023,A1,210.0,0.0,780.0,160.0,600.0,130.0,1,2,7,R01-B002-L07
A1-00024,A1,210.0,0.0,910.0,160.0,600.0,130.0,1,2,8,R01-B002-L08
A1-00025,A1,210.0,0.0,1040.0,160.0,600.0,130.0,1,2,9,R01-B002-L09
A1-00026,A1,210.0,0.0,1170.0,160.0,600.0,130.0,1,2,10,R01-B002-L10
A1-00027,A1,210.0,0.0,1300.0,160.0,600.0,130.0,1,2,11,R01-B002-L11
A1-00028,A1,210.0,0.0,1430.0,160.0,600.0,130.0,1,2,12,R01-B002-L12
A1-00029,A1,210.0,0.0,1560.0,160.0,600.0,130.0,1,2,13,R01-B002-L13
A1-00030,A1,210.0,0.0,1690.0,160.0,600.0,130.0,1,2,14,R01-B002-L14
A1-00031,A1,210.0,0.0,1820.0,160.0,600.0,130.0,1,2,15,R01-B002-L15
A1-00032,A1,210.0,0.0,1950.0,160.0,600.0,130.0,1,2,16,R01-B002-L16
A1-00033,A1,420.0,0.0,0.0,160.0,600.0,130.0,1,3,1,R01-B003-L01
A1-00034,A1,420.0,0.0,130.0,160.0,600.0,130.0,1,3,2,R01-B003-L02
A1-00035,A1,420.0,0.0,260.0,160.0,600.0,130.0,1,3,3,R01-B003-L03
A1-00036,A1,420.0,0.0,390.0,160.0,600.0,130.0,1,3,4,R01-B003-L04
A1-00037,A1,420.0,0.0,520.0,160.0,600.0,130.0,1,3,5,R01-B003-L05
A1-00038,A1,420.0,0.0,650.0,160.0,600.0,130.0,1,3,6,R01-B003-L06
A1-00039,A1,420.0,0.0,780.0,160.0,600.0,130.0,1,3,7,R01-B003-L07
A1-00040,A1,420.0,0.0,910.0,160.0,600.0,130.0,1,3,8,R01-B003-L08
A1-00041,A1,420.0,0.0,1040.0,160.0,600.0,130.0,1,3,9,R01-B003-L09
A1-00042,A1,420.0,0.0,1170.0,160.0,600.0,130.0,1,3,10,R01-B003-L10
A1-00043,A1,420.0,0.0,1300.0,160.0,600.0,130.0,1,3,11,R01-B003-L11
A1-00044,A1,420.0,0.0,1430.0,160.0,600.0,130.0,1,3,12,R01-B003-L12
A1-00045,A1,420.0,0.0,1560.0,160.0,600.0,130.0,1,3,13,R01-B003-L13
A1-00046,A1,420.0,0.0,1690.0,160.0,600.0,130.0,1,3,14,R01-B003-L14
A1-00047,A1,420.0,0.0,1820.0,160.0,600.0,130.0,1,3,15,R01-B003-L15
A1-00048,A1,420.0,0.0,1950.0,160.0,600.0,130.0,1,3,16,R01-B003-L16
A1-00049,A1,630.0,0.0,0.0,160.0,600.0,130.0,1,4,1,R01-B004-L01
A1-00050,A1,630.0,0.0,130.0,160.0,600.0,130.0,1,4,2,R01-B004-L02
A1-00051,A1,630.0,0.0,260.0,160.0,600.0,130.0,1,4,3,R01-B004-L03
A1-00052,A1,630.0,0.0,390.0,160.0,600.0,130.0,1,4,4,R01-B004-L04
A1-00053,A1,630.0,0.0,520.0,160.0,600.0,130.0,1,4,5,R01-B004-L05
A1-00054,A1,630.0,0.0,650.0,160.0,600.0,130.0,1,4,6,R01-B004-L06
A1-00055,A1,630.0,0.0,780.0,160.0,600.0,130.0,1,4,7,R01-B004-L07
A1-00056,A1,630.0,0.0,910.0,160.0,600.0,130.0,1,4,8,R01-B004-L08
A1-00057,A1,630.0,0.0,1040.0,160.0,600.0,130.0,1,4,9,R01-B004-L09
A1-00058,A1,630.0,0.0,1170.0,160.0,600.0,130.0,1,4,10,R01-B004-L10
A1-00059,A1,630.0,0.0,1300.0,160.0,600.0,130.0,1,4,11,R01-B004-L11
A1-00060,A1,630.0,0.0,1430.0,160.0,600.0,130.0,1,4,12,R01-B004-L12
A1-00061,A1,630.0,0.0,1560.0,160.0,600.0,130.0,1,4,13,R01-B004-L13
A1-00062,A1,630.0,0.0,1690.0,160.0,600.0,130.0,1,4,14,R01-B004-L14
A1-00063,A1,630.0,0.0,1820.0,160.0,600.0,130.0,1,4,15,R01-B004-L15
